create table ava_list (
cfr text primary key,
state text,
name text,
county text,
within text,
contains text);

copy ava_list from stdin with csv header;
cfr,state,name,county,within,contains
9.82,CA,Potter Valley,Mendocino,Mendocino|North Coast,
9.191,CA,Ramona Valley,San Diego,South Coast,
9.169,CA,Red Hills Lake County,Lake,Clear Lake|North Coast,
9.153,CA,Redwood Valley,Mendocino,Mendocino|North Coast,
9.164,CA,River Junction,San Joaquin,,
9.173,CA,Rockpile,Sonoma,North Coast|Northern Sonoma,Dry Creek Valley
9.66,CA,Russian River Valley,Sonoma,North Coast|Northern Sonoma|Sonoma Coast,Alexander Valley|Chalk Hill|Green Valley of Russian River Valley
9.133,CA,Rutherford,Napa,Napa Valley|North Coast,
9.203,CA,Saddle Rock- Malibu,Los Angeles,Malibu Coast,
9.163,CA,Salado Creek,Stanislaus,,
9.194,CA,San Antonio Valley,Monterey,Central Coast,
9.110,CA,San Benito,San Benito,Central Coast,Cienega Valley|Lime Kiln Valley|Paicines
9.171,CA,San Bernabe,Monterey,Central Coast|Monterey,
9.157,CA,San Francisco Bay,Alameda|Contra Costa|San Benito|San Francisco|San Mateo|Santa Clara|Santa Cruz|Solano,Central Coast,Lamorinda|Livermore Valley|Pacheco Pass|San Ysidro District|Santa Clara Valley
9.245,CA,San Juan Creek,San Luis Obispo,Central Coast|Paso Robles,
9.56,CA,San Lucas,Monterey,Central Coast|Monterey,
9.246,CA,San Miguel District,San Luis Obispo,Central Coast|Paso Robles,
9.25,CA,San Pasqual Valley,San Diego,South Coast,
9.130,CA,San Ysidro District,Santa Clara,Central Coast|San Francisco Bay|Santa Clara Valley,
9.126,CA,Santa Clara Valley,Alameda|San Benito|Santa Clara,Central Coast|San Francisco Bay,Pacheco Pass|San Ysidro District
9.31,CA,Santa Cruz Mountains,San Mateo|Santa Clara|Santa Cruz,,Ben Lomond Mountain
9.139,CA,Santa Lucia Highlands,Monterey,Central Coast|Monterey,
9.247,CA,Santa Margarita Ranch,San Luis Obispo,Central Coast|Paso Robles,
9.28,CA,Santa Maria Valley,San Luis Obispo|Santa Barbara,Central Coast,
9.54,CA,Santa Ynez Valley,Santa Barbara,Central Coast,Ballard Canyon|Happy Canyon of Santa Barbara|Los Olivos District|Sta. Rita Hills
9.148,CA,Seiad Valley,Siskiyou,,
9.120,CA,Sierra Foothills,Amador,,California Shenandoah Valley|El Dorado|Fair Play|Fiddletown|North Yuba|Calaveras|El Dorado|Mariposa|Nevada|Placer|Tuolumne|Yuba
9.218,CA,Sierra Pelona Valley,Los Angeles,,
9.201,CA,Sloughhouse,Sacramento,Lodi,
9.44,CA,Solano County Green Valley,Solano,North Coast,Wild Horse Valley
9.116,CA,Sonoma Coast,Sonoma,North Coast,Bennett Valley|Chalk Hill|Green Valley of Russian River Valley|Los Carneros|Northern Sonoma|Russian River Valley|Sonoma Valley
9.102,CA,Sonoma Mountain,Sonoma,North Coast|Sonoma Valley,Bennett Valley
9.29,CA,Sonoma Valley,Sonoma,North Coast|Sonoma Coast,Bennett Valley|Los Carneros|Moon Mountain District Sonoma County|Sonoma Mountain
9.104,CA,South Coast,Los Angeles|Orange|Riverside|San Bernadino|San Diego,,Ramona Valley|San Pasquale Valley|Temecula Valley
9.143,CA,Spring Mountain District,Napa,Napa Valley|North Coast,
9.251,CA,Squaw Valley-Miramonte,Fresno,,
9.149,CA,St. Helena,Napa,Napa Valley|North Coast,
9.162,CA,Sta. Rita Hills,Santa Barbara,Central Coast|Santa Ynez Valley,
9.117,CA,Stags Leap District,Napa,Napa Valley|North Coast,
9.45,CA,Suisun Valley,Solano,North Coast,
9.50,CA,Temecula Valley,Riverside,South Coast,
9.248,CA,Templeton Gap District,San Luis Obispo,Central Coast|Paso Robles,
9.204,CA,Tracy Hills,San Joaquin|Stanislaus,,
9.184,CA,Trinity Lakes,Trinity,,
9.124,CA,Wild Horse Valley,Napa|Solano,Napa Valley|North Coast|Solano County|Green Valley,
9.85,CA,Willow Creek,Humboldt|Trinity,,
9.80,CA,York Mountain,San Luis Obispo,Central Coast,
9.159,CA,Yorkville Highlands,Mendocino,Mendocino|North Coast,
9.160,CA,Yountville,Napa,Napa Valley|North Coast,
9.137,CO,Grand Valley,Mesa,,
9.172,CO,West Elks,Delta,,
9.122,CT,Western Connecticut Highlands,Fairfield|Hartford|Litchfield|New Haven,,
9.252,ID,Eagle Foothills,Ada|Gem,Snake River Valley,
9.206,IL,Shawnee Hills,Alexander|Gallatin|Hardin|Jackson|Johnson|Pope|Pulaski|Randolph|Saline|Union|Williamson,,
9.228,IN,Indiana Uplands,Bartholomew|Brown|Crawford|Daviess|Dubois|Floyd|Greene|Harrison|Jackson|Lawrence|Martin|Monroe|Morgan|Orange|Owens|Perry|Scott|Spencer|Washington,,
9.67,MD,Catoctin,Frederick|Washington,,
9.63,MD,Linganore,Carroll|Frederick,,
9.73,MA,Martha’s Vineyard,Dukes,Southeastern New England,
9.33,MI,Fennville,Allegan,Lake Michigan Shore,
9.79,MI,Lake Michigan Shore,Allegan|Berrien|Cass|Kalamazoo|Van Buren,,Fennville
9.40,MI,Leelanau Peninsula,Leelanau,,
9.114,MI,Old Mission Peninsula,Grand Traverse,,
9.257,MI,Tip of the Mitt,Alpena|Antrim|Charlevoix|Cheboygan|Emmet|Presque Isle,,
9.177,MN,Alexandria Lakes,Douglas,,
9.22,MO,Augusta,St. Charles,Ozark Mountain,
9.71,MO,Hermann,Gasconade|Franklin,Ozark Mountain,
9.115,MO,Ozark Highlands,Crawford|Dent|Franklin|Gasconade|Maries|Osage|Phelps|Pulaski|Reynolds|Shannon|Texas,Ozark Mountain,
9.207,NJ,Outer Coastal Plain,Atlantic|Burlington|Camden|Cape May|Cumberland|Gloucester|Monmouth|Ocean|Salem,,
9.121,NJ,Warren Hills,Warren,,
9.119,NM,Middle Rio Grande Valley,Bernalillo|Sandoval|Socorro|Valencia,,
9.103,NM,Mimbres Valley,Grant|Luna,,
9.127,NY,Cayuga Lake,Cayuga|Seneca|Tompkins,Finger Lakes,
9.258,NY,Champlain Valley of New York,Clinton|Essex,,
9.34,NY,Finger Lakes,Cayuga|Courtland|Livingston|Monroe|Onondaga|Ontario|Schuyler|Seneca|Steuben|Tompkins|Wayne|Yates,,Cayuga Lake|Seneca Lake
9.47,NY,Hudson River Region,Columbia|Duchess|Orange|Putnam|Rockland|Sullivan|Ulster|Westchester,,
9.170,NY,Long Island,Nassau|Suffolk,,North Fork of Long Island|The Hamptons
9.186,NY,Niagara Escarpment,Niagara,,
9.113,NY,North Fork of Long Island,Suffolk,Long Island,
9.128,NY,Seneca Lake,Ontario|Schuyler|Seneca|Yates,Finger Lakes,
9.101,NY,The Hamptons Long Island,Suffolk,Long Island,
9.214,NC,Haw River Valley,Alamance|Caswell|Chatham|Guilford|Orange|Rockingham,,
9.211,NC,Swan Creek,Iredell|Wilkes|Yadkin,Yadkin Valley,
9.174,NC,Yadkin Valley,Davidson|Davie|Forsythe|Stokes|Surrey|Wilkes|Yadkin,,Swan Creek
9.87,OH,Grand River Valley,Ashtabula|Geauga|Lake,Lake Erie,
9.51,OH,Isle St. George,Ottawa,Lake Erie,
9.62,OH,Loramie Creek,Shelby,,
9.165,OR,Applegate Valley,Jackson|Josephine,Rogue Valley|Southern Oregon,
9.205,OR,Chehalem Mountains,Clackamas|Washington|Yamhill,Willamette Valley,Ribbon Ridge
9.180,OR,Dundee Hills,Yamhill,Willamette Valley,
9.239,OR,Elkton Oregon,Douglas,Southern Oregon|Umpqua Valley,
9.202,OR,Eola-Amity Hills,Polk|Yamhill,Willamette Valley,
9.181,OR,McMinnville,Yamhill,Willamette Valley,
9.190,OR,"Red Hill Douglas County, Oregon",Douglas,Southern Oregon|Umpqua Valley,
9.182,OR,Ribbon Ridge,Yamhill,Chehalem Mountains|Willamette Valley,
9.249,OR,The Rocks District of Milton-Freewater,Umatilla,Columbia Valley|Walla Walla Valley,
9.132,OR,Rogue Valley,Jackson|Josephine,Southern Oregon,Applegate Valley
9.179,OR,Southern Oregon,Douglas|Jackson|Josephine,,Applegate Valley|Elkton Oregon|"Red Hill Douglas County, Oregon|Rogue Valley|Umpqua Valley"
9.89,OR,Umpqua Valley,Douglas,Southern Oregon,Elkton Oregon|Red Hill Douglas County Oregon
9.90,OR,Willamette Valley,Benton|Clackamas|Lane|Linn|Marion|Multnomah|Polk|Washington|Yamhill,,Chehalem Mountains|Dundee Hills|Eola-Amity Hills|McMinnville|Ribbon Ridge|Yamhill-Carlton
9.183,OR,Yamhill-Carlton,Washington|Yamhill,Willamette Valley,
9.41,PA,Lancaster Valley,Chester|Lancaster,,
9.210,PA,Lehigh Valley,Berks|Carbon|Lehigh|Monroe|Northampton|Schuylkill,,
9.55,TX,Bell Mountain,Gillespie,Texas Hill Country,
9.141,TX,Escondido Valley,Pecos,,
9.125,TX,Fredericksburg in the Texas Hill Country,Gillespie,Texas Hill Country,
9.155,TX,Texas Davis Mountains,Jeff Davis,,
9.144,TX,Texas High Plains,Armstrong|Bailey|Borden|Briscoe|Castro|Cochran|Crosby|Dawson|Deaf Smith|Dickens|Floyd|Gaines|Garza|Hale|Hockley|Lamb|Lubbock|Lynn|Motley|Parmer|Randall|Swisher|Terry|Yoakum,,
9.136,TX,Texas Hill Country,Bandera|Bexar|Blanco|Burnet|Comal|Edwards|Gillespie|Guadalupe|Hays|Kendall|Kerr|Kimble|Lampasas|Llano|Mason|McCulloch|Medina|Menard|Real|San Saba|Travis|Uvalde|Williamson,,Bell Mountain|Fredericksburg in the Texas Hill Country
9.185,TX,Texoma,Cooke|Fannin|Grayson|Montague,,
9.225,VA,Middleburg Virginia,Fauquier|Loudoun,,
9.48,VA,Monticello,Albemarle|Greene|Nelson|Orange,,
9.65,VA,North Fork of Roanoke,Montgomery|Roanoke,,
9.109,VA,Northern Neck George Washington Birthplace,King George|Lancaster|Northumberland|Richmond|Westmoreland,,
9.43,VA,Rocky Knob,Floyd|Patrick,,
9.135,VA,Virginia’s Eastern Shore,Accomack|Northampton,,
9.227,WA,Ancient Lakes of Columbia Valley,Douglas|Grant|Kittitas,Columbia Valley,
9.188,WA,Horse Heaven Hills,Benton|Klickitat|Yakima,Columbia Valley,
9.215,WA,Lake Chelan,Chelan,Columbia Valley,
9.222,WA,Naches Heights,Yakima,Columbia Valley,
9.151,WA,Puget Sound,Clallam|Island|Jefferson|King|Kitsap|Mason|Pierce|San Juan|Skagit|Snohomish|Thurston|Whatcom,,
9.193,WA,Rattlesnake Hills,Yakima,Yakima Valley|Columbia Valley,
9.167,WA,Red Mountain,Benton,Yakima Valley|Columbia Valley,
9.213,WA,Snipes Mountain,Yakima,Yakima Valley|Columbia Valley,
9.192,WA,Wahluke Slope,Grant,Columbia Valley,
9.69,WA,Yakima Valley,Benton|Yakima,Columbia Valley,Rattlesnake Hills|Red Mountain|Snipes Mountain
9.111,WV,Kanawha River Valley,Cabell|Jackson|Kanawha|Mason|Putnam,Ohio River Valley,
9.146,WI,Lake Wisconsin,Columbia|Dane,Upper Mississippi|River Valley,
9.224,WI,Wisconsin Ledge,Brown|Calumet|Dodge|Door|Fond du Lac|Kewaunee|Manitowoc|Outagamie|Ozaukee|Sheboygan|Washington,,
9.260,NC|TN|VI,Appalachian High Country,,,
9.49,NJ|PA,Central Delaware Valley,,,
9.178,OR|WA,Columbia Gorge,,,
9.74,OR|WA,Columbia Valley,,,"Ancient Lakes of Columbia Valley (WA)|Horse Heaven Hills (WA)|Naches Heights (WA)|Rattlesnake Hills (WA)|Red Mountain (WA)|The Rocks District of Milton–Freewater (OR)|Snipes Mountain (WA)|Walla Walla Valley (WA,OR)|Yakima Valley (WA)"
9.105,MD|PA,Cumberland Valley,,,
9.83,NY|OH|PA,Lake Erie,,,Grand River Valley (OH)|Isle St. George (OH)
9.256,ID|WA,Lewis–Clark Valley,,,
9.255,IA|MO,Loess Hills District,,,
9.100,NM|TX,Mesilla Valley,,,
9.96,MS|LA|TN,Mississippi Delta,,,
9.60,VI|WV,Shenandoah Valley,,,
9.208,ID|OR,Snake River Valley,,,Eagle Foothills (ID)
9.78,IN|KY|OH|WV,Ohio River Valley,,,Kanawha River Valley (WV)
9.108,AR|MO|OK,Ozark Mountain,,,Altus (AR)|Arkansas Mountain (AR)|Augusta (MO)|Hermann (MO)|Ozark Highlands (MO)
9.72,CT|RI|MA,Southeastern New England,,,Martha’s Vineyard (MA)
9.234,GA|NC,Upper Hiwassee Highlands,,,
9.216,IL|IA|MN|WI,Upper Mississippi River Valley,,,Lake Wisconsin (WI)
9.91,OR|WA,Walla Walla Valley,,Columbia Valley,The Rocks District of Milton–Freewater (OR)
\.
