"titles","contributors"
"seiad_valley.geojson","SoominHur|MicheleTobias|qjhart|labriola|elistockwell"
"seneca_lake.geojson","labriola|ericallanwest|kurtishouser|elistockwell"
"shawnee_hills.geojson","Alexenia|elistockwell|labriola"
"shenandoah_valley.geojson","dannyo33|elistockwell|labriola"
"sierra_foothills.geojson","MicheleTobias|labriola|elistockwell"
"sierra_pelona_valley.geojson","andrewjessup|labriola|elistockwell"
"sloughhouse.geojson","MicheleTobias|SoominHur|labriola|elistockwell"
"snake_river_valley.geojson","labriola|elistockwell|ericallanwest|kurtishouser"
"snipes_mountain.geojson","andrewjessup|labriola|elistockwell"
"solano_county_green_valley.geojson","labriola|SoominHur|MicheleTobias|kurtishouser|amberreyes|elistockwell"
"sonoita.geojson","MicheleTobias|labriola|APRios|elistockwell"
"sonoma_coast.geojson","SoominHur|labriola|amberreyes|elistockwell"
"sonoma_mountain.geojson","MicheleTobias|amberreyes|elistockwell|SoominHur|labriola|kurtishouser"
"sonoma_valley.geojson","MicheleTobias|SoominHur|labriola|kurtishouser|amberreyes|elistockwell"
"south_coast.geojson","andrewjessup|labriola|davidkli|elistockwell"
"southeastern_new_england.geojson","dannyo33|labriola|elistockwell"
"southern_oregon.geojson","labriola|elistockwell|ericallanwest|kurtishouser"
"spring_mountain_district.geojson","SoominHur|MicheleTobias|labriola|amberreyes|elistockwell"
"squaw_valley_miramonte.geojson","SoominHur|labriola|elistockwell|ariellerose"
"st__helena.geojson","MicheleTobias|SoominHur|labriola|amberreyes|elistockwell"
"sta__rita_hills.geojson","elistockwell|andrewjessup|kurtishouser|SoominHur|MicheleTobias"
"stags_leap_district.geojson","MicheleTobias|labriola|SoominHur|amberreyes|elistockwell"
"suisun_valley.geojson","MicheleTobias|SoominHur|labriola|elistockwell"
"swan_creek.geojson","MicheleTobias|labriola|elistockwell"
"tehachapi_mountains.geojson","elistockwell|labriola|kurtishouser"
"temecula_valley.geojson","elistockwell|andrewjessup|SoominHur"
"templeton_gap_district.geojson","SoominHur|andrewjessup|labriola|elistockwell"
"texas_davis_mountains.geojson","elistockwell|bsllee|labriola"
